Prob model number of drones,Actual number of drones
872,411
839,403
812,435
841,428
842,419
827,445
781,398
876,477
836,423
848,491
829,417
851,450
777,413
843,478
846,423
779,423
813,427
759,398
807,461
793,452
829,433
791,417
755,430
815,430
810,419
804,388
825,441
826,489
832,400
803,396
821,410
775,357
781,400
816,439
732,365
793,413
818,408
865,510
879,451
810,410
787,389
805,421
824,395
795,418
824,457
744,392
816,421
857,419
779,407
766,411
