Prob model number of drones,Actual number of drones
820,480
816,442
773,408
770,445
739,370
700,393
758,413
757,417
841,435
759,416
820,454
767,398
773,415
694,360
831,497
735,391
822,410
787,418
778,422
727,407
821,426
857,504
819,447
834,487
809,423
801,450
783,443
817,449
739,399
797,429
788,431
780,434
856,474
753,426
737,390
790,426
810,383
837,496
797,426
777,407
772,412
789,447
764,372
763,379
790,433
776,426
828,463
797,439
783,384
810,453
